Title,Description,Status,Priority,Labels,Estimate
P1 · Убрать противоречие в витрине,"Позиционирование говорит «устали от футболок с логотипом», а showcase перечисляет худи/кепку/термокружку/тоут — ровно тот generic-мерч. Страница спорит сама с собой. Заменить на нестандартные объекты, переписать body, синхронизировать длину SHOWCASE_VIDEOS.

План: `docs/superpowers/plans/2026-08-13-trust-and-conversion-sections.md` → Task 3
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: согласованный список объектов, которые LORE реально может произвести",Todo,High,"P1,content,positioning",3
P1 · Секция качества и материалов,"Главный страх автора — выцветший принт и кривой шов под его именем. Макро-фото, названия материалов и технологий, что проверяем перед отгрузкой, бесплатный образец до тиража (этим бьёт конкурент Showcase).

План: `docs/superpowers/plans/2026-08-13-trust-and-conversion-sections.md` → Task 4
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: реальные фото производства, названия материалов",Todo,High,"P1,content,trust",3
P1 · Калькулятор дохода автора,"lib/economics.ts — чистая формула, отдельно от UI. components/sections/Calculator.tsx — ползунки аудитории и чека, выбор финмодели, результат крупно. Конверсия скрыта: иначе посетитель накрутит себе любую цифру. Отправка заявки с параметрами расчёта.

План: `docs/superpowers/plans/2026-08-13-trust-and-conversion-sections.md` → Task 5
Полные шаги, код и критерии приёмки — в плане.
⛔ Блокируется: P0 Task 5
📥 Нужны данные от заказчика: реальная конверсия, средний чек, доля автора по трём моделям",Todo,High,"P1,frontend,conversion",5
P1 · Секция «Кто мы»,"3–4 числа о себе крупно + команда + производство + юрлицо. Ровно то, что есть у Fourthwall (500k креаторов, 4 дня доставка) и Genflow ($300M+, 250 клиентов) и чего у LORE нет вообще.

План: `docs/superpowers/plans/2026-08-13-trust-and-conversion-sections.md` → Task 6
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: состав команды, год основания, юрлицо, цифры",Todo,High,"P1,content,trust",3
P1 · Приёмка,"tsc + eslint + i18n-parity + build. Проверить совпадение порядка SLIDE_IDS, элементов в page.tsx и namespace'ов в messages. Прогон всей деки из 17 секций на 1280px и 375px.

План: `docs/superpowers/plans/2026-08-13-trust-and-conversion-sections.md` → Task 7
Полные шаги, код и критерии приёмки — в плане.
⛔ Блокируется: все задачи P1",Todo,High,"P1,qa",2
P2 · SEO-пакет,"sitemap.ts, robots.ts, opengraph-image.tsx через встроенный ImageResponse, metadataBase, alternates.languages, JSON-LD Organization. Сейчас ссылка на сайт в Telegram разворачивается голым текстом без картинки — а это основной канал для этой аудитории.

План: `docs/superpowers/plans/2026-08-13-growth-seo-and-legal.md` → Task 1
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: боевой домен",Todo,Medium,"P2,seo",5
P2 · Секция про запуск и прогрев,"Единственный аргумент, отделяющий LORE от Fourthwall и Spring: те дают витрину, но не дают продаж. Четыре фазы дропа по образцу Journey. Кейс Rhode на сайте уже описан именно так — «год прогрева сформировал отложенный спрос», но нигде не обещано, что это делаем мы.

План: `docs/superpowers/plans/2026-08-13-growth-seo-and-legal.md` → Task 2
Полные шаги, код и критерии приёмки — в плане.",Todo,Medium,"P2,content,positioning",3
P2 · Квиз подбора продукта,"lib/quizSteps.ts + quizReducer.ts + Quiz.tsx, встроить в ProductDiscovery (не новая секция — это исполнение обещания, которое секция уже даёт). Четыре вопроса, на финале — контакт, в Telegram уходит готовый бриф.

План: `docs/superpowers/plans/2026-08-13-growth-seo-and-legal.md` → Task 3
Полные шаги, код и критерии приёмки — в плане.
⛔ Блокируется: P0 Task 5",Todo,Medium,"P2,frontend,conversion",5
P2 · Самохостинг медиа и постеры,"Первый экран тянет три видео с static.higgsfield.ai — чужого CDN. Единственная внешняя зависимость рантайма на всём лендинге, и она стоит в hero. Заменить своей съёмкой или захостить у себя, добавить poster (сейчас до загрузки виден чёрный прямоугольник).

План: `docs/superpowers/plans/2026-08-13-growth-seo-and-legal.md` → Task 4
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: решение по правам на текущие ролики",Todo,Medium,"P2,perf,media",3
P2 · Оферта и политика ПД,"LORE принимает оплату и выплачивает долю авторам, форма собирает перс. данные — юридических страниц нет. Два маршрута вне слайд-деки, noindex, ссылки под формой и в футере, записи в sitemap. Тексты пишет юрист, не разработчик.

План: `docs/superpowers/plans/2026-08-13-growth-seo-and-legal.md` → Task 5
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: тексты оферты и политики от юриста, реквизиты юрлица",Todo,Medium,"P2,legal",3
P2 · Приёмка,"tsc + eslint + i18n-parity + build. Проверка sitemap (6 URL), robots, OG-тегов и hreflang на собранном приложении. Валидация превью ссылки.

План: `docs/superpowers/plans/2026-08-13-growth-seo-and-legal.md` → Task 6
Полные шаги, код и критерии приёмки — в плане.
⛔ Блокируется: все задачи P2",Todo,Medium,"P2,qa",2
